标准答案	谜题（emoji）	LLM输出成语	LLM是否正确	成语中有几个谐音
不甘示弱	🙅🍻☑️👩‍🦽	不欢而散	0	2
不甘示弱	🙅🎋🌧️👩‍🦽	不期而遇	0	2
不甘示弱	🙅🍻🌎👩‍🦽	不醉不归	0	2
言归正传	🗣️🗄️➕🔁	道听途说	0	2
言归正传	🗣️🗄️☑️🔃	言简意赅	0	2
言归正传	🗣️👻➕🧱	鬼话连篇	0	2
人微言轻	👤⚠️🗣️🥬	人言可畏	0	2
人微言轻	👤❗🗣️🥬	自言自语	0	2
人微言轻	👤💂‍♀️🗣️💓	人言可畏	0	2
浩然正气	☑️🧬☑️🌬️	新陈代谢	0	2
浩然正气	✅🔥☑️😤	正大光明	0	2
浩然正气	✅🧬☑️🌬️	正本清源	0	2
力不从心	🦾🙅‍♀️🧅💖	力不从心	1	1
力不从心	🦾🙅🧅🩵	无能为力	0	1
力不从心	🦾🙅🧅💕	无能为力	0	1
力不从心	💪🚶🧅♥️	力挽狂澜	0	2
力不从心	💪🚶‍♂️🧅🫀	力挽狂澜	0	2
力不从心	🍐🙅🧅😘	离经叛道	0	2
不分轻重	🙅➗🆑🎯	不可救药	0	2
不分轻重	🙅➗🌞🕝	不可终日	0	2
不分轻重	🙅➗🎊🛎️	不可救药	0	2
勤学好问	🐔🧑‍🎓✅🤷‍♂️	鸡鸣狗盗	0	1
勤学好问	🎹🏫✅🤷	对牛弹琴	0	1
勤学好问	🎹🏫✅❔	琴棋书画	0	1
勤学好问	👪🎓📯🤷‍♂️	家学渊源	0	2
勤学好问	🐔🎓📯🤷‍♂️	鸡鸣狗盗	0	2
勤学好问	👪🏫📯❔	家学渊源	0	2
单刀直入	📋✂️❌👩‍🍼	纸上谈兵	0	2
单刀直入	📋✂️🧵🍼	断章取义	0	2
单刀直入	📋🔪☝️🥛	纸上谈兵	0	2
洗心革面	🛀💘🕊️🍜	浴火重生	0	1
洗心革面	🛀💘🧑‍🎤🍞	沐猴而冠	0	1
洗心革面	🛀♥️◽🥖	洗心革面	1	1
洗心革面	🌄💓🔷🍞	东山再起	0	2
洗心革面	🛀💕👩‍🎤💤	沐浴更衣	0	2
洗心革面	🌄♥️🕊️🍝	东山再起	0	2
绿水青山	📹🤽🍏🏔️	影只形单	0	1
绿水青山	🚧🤽🥬🗻	兴风作浪	0	1
绿水青山	📼🥤🍏🏔️	声东击西	0	1
绿水青山	📋🌧️🎆🏔️	纸上谈兵	0	2
绿水青山	📋🌧️👏🏔️	纸上谈兵	0	2
绿水青山	📋💧🍏⭐	纸上谈兵	0	2
一往无前	🥇↔️🛖⏩	首当其冲	0	1
一往无前	☝️↔️🙉⏩	一意孤行	0	1
一往无前	🥇↔️5️⃣⏩	首当其冲	0	1
一往无前	1️⃣🕸️🧙‍♂️⏩	一网打尽	0	2
一往无前	1️⃣👑🖐️⏩	黄袍加身	0	2
一往无前	1️⃣🎾🕺⏩	弹冠相庆	0	2
酸甜苦辣	🍋🍬😖🫑	酸甜苦辣	1	0
酸甜苦辣	🍋🍬😫🌶️	酸甜苦辣	1	0
酸甜苦辣	🍋🍬😖🧅	酸甜苦辣	1	0
酸甜苦辣	🍋🍬😭🌶️	酸甜苦辣	1	1
酸甜苦辣	🍋🍭🗄️🧅	酸甜苦辣	1	1
酸甜苦辣	🍋🍨🩳🌶️	酸甜苦辣	1	1
酸甜苦辣	🍋👼😎🫑	青出于蓝	0	2
酸甜苦辣	🍋👼👖🧅	酸甜苦辣	1	2
酸甜苦辣	🍋🍨😢🗑️	酸甜苦辣	1	2
不足为奇	🙅🦶⚠️🙏	不可救药	0	2
不足为奇	🙅🦶❗🚴	不可救药	0	2
不足为奇	🙅🦶‼️🤬	不可理喻	0	2
居高临下	🎦⤴️🌳⬇	东山再起	0	2
居高临下	🎥🔝🌳⬇️	上树拔梯	0	2
居高临下	🎥⤴️🚿⬇️	水落石出	0	2
毫不讳言	☑️🙅↩️🗣️	不容置喙	0	2
毫不讳言	✅🙅‍♀️↪️🗣️	对答如流	0	2
毫不讳言	☑️🙅‍♂️🙋🗣️	无可奉告	0	2
扑朔迷离	♦️🎓😵‍💫🏋️	德高望重	0	2
扑朔迷离	♦️🎓😵‍💫💇	头昏脑涨	0	2
扑朔迷离	♦️👨‍🎓🤷‍♀🗓️	投笔从戎	0	2
毫不在意	👌🙅🤠🍝	得心应手	0	2
毫不在意	🆗🙅‍♂️🤠💭	不可思议	0	2
毫不在意	🆗🙅‍♀️🤠💭	不可救药	0	2
忆苦思甜	1️⃣😖🧠🍬	苦思冥想	0	1
忆苦思甜	☝️😖🤔🍨	一筹莫展	0	1
忆苦思甜	☝️😫🤔😋	举一反三	0	1
忆苦思甜	1️⃣😢🤔🍨	悲喜交加	0	2
忆苦思甜	❓😖🧠👼	疑神疑鬼	0	2
忆苦思甜	1️⃣💀🧐🍨	死心塌地	0	2
好好先生	☑️☑️🖥️⏫	板上钉钉	0	2
好好先生	☑️☑️🧚🛎️	对牛弹琴	0	2
好好先生	☑️☑️‼️⏏️	千真万确	0	2
虚度光阴	🌅🌡️☀️⚫	日新月异	0	1
虚度光阴	🤫🌡️🌟⚫	讳莫如深	0	1
虚度光阴	🤫🌡️🪩⚫	讳莫如深	0	1
虚度光阴	🌅🃏☀️⚫	朝三暮四	0	2
虚度光阴	🤫⛴💡⚫	沉默寡言	0	2
虚度光阴	🌅🚣‍♀️🔅⚫	朝三暮四	0	2
怨声载道	😤🎤🤠🛣️	气宇轩昂	0	1
怨声载道	🤬📣🤠☯️	怒发冲冠	0	1
怨声载道	🤬🔊🤠🛣️	口出狂言	0	1
怨声载道	🤬🎤🤠🌾	口诛笔伐	0	2
怨声载道	🤬📣🤠🫗	口出狂言	0	2
怨声载道	💲🔊🤠☯️	财源广进	0	2
两虎相斗	2️⃣🐯📷🥊	二龙戏珠	0	0
两虎相斗	2️⃣🐯📷🤼‍♂️	二虎相斗	0	0
两虎相斗	2️⃣🐅📷🥊	二虎相斗	0	0
两虎相斗	🪩🐅📷🤼‍♀️	镜花水月	0	1
两虎相斗	2️⃣🐅🐘🤼‍♂️	二虎相争	0	1
两虎相斗	2️⃣🐯📦⚔️	二虎相斗	0	1
两虎相斗	2️⃣🧔🏻‍♂️📷🫛	二龙戏珠	0	2
两虎相斗	🕯️🐯📷🫛	照猫画虎	0	2
两虎相斗	🌉🐅🧐🥊	过目不忘	0	2
是非分明	✅❎➗🔦	是非分明	1	0
是非分明	☑️❌➗☀️	是非分明	1	0
是非分明	✅❌➗🌞	是非分明	1	0
是非分明	✅🪁➗☀️	正大光明	0	1
是非分明	🏠❎➗🔆	家喻户晓	0	1
是非分明	♐❎➗🔦	矢口否认	0	1
是非分明	☑️🌬️💩🌞	风吹日晒	0	2
是非分明	☑️✈️😡🔦	登峰造极	0	2
是非分明	⌚❌🆔🔅	时不我待	0	2
普天同庆	♦️👼🟰🎉	欢天喜地	0	1
普天同庆	💁‍♂️👼🟰👏	人小鬼大	0	1
普天同庆	🍇👼🟰👏	自相矛盾	0	1
普天同庆	♦️👼🧒🎆	天真烂漫	0	2
普天同庆	💁‍♂️🍩🟰👏	引人入胜	0	2
普天同庆	♦️👼👁️🍾	点石成金	0	2
吹毛求疵	🌬️🪶🙏🗡️	风刀霜剑	0	1
吹毛求疵	🌬️🧶🙏🦔	风马牛不	0	1
吹毛求疵	🌬️🧶🙏🔪	风吹草动	0	1
吹毛求疵	🌬️🪶⚾🔪	风花雪月	0	2
吹毛求疵	🌬️🧶⛹️🌵	风花雪月	0	2
吹毛求疵	🌬️🧶🎾🦔	风花雪月	0	2
春风化雨	👄🌪️🌹🌧️	口若悬河	0	2
春风化雨	👄🌪️🛹🌧️	口若悬河	0	2
春风化雨	👄🌪️👨‍🎨🌧️	口若悬河	0	2
通情达理	👀🩷🤜💇	目不转睛	0	2
通情达理	👁️♥️🥊💇	目不转睛	0	2
通情达理	❤️‍🩹💘🤼‍♀️💈	心驰神往	0	2
如火燎原	🪱🌋👩‍⚕️⚛️	物华天宝	0	2
如火燎原	👩‍🍼💥👩‍⚕️⚛️	母仪天下	0	2
如火燎原	🪱🕯️🩹⚛️	画龙点睛	0	2
一望而知	1️⃣🔭👂🪴	望闻问切	0	2
一望而知	1️⃣🔭2️⃣🙅‍♂️	望而却步	0	2
一望而知	1️⃣🔭👦🔖	望子成龙	0	2
走马观花	🥾🏇🔭🪻	走马观花	1	0
走马观花	🥾🎪🔭🪷	脚踏实地	0	0
走马观花	🚶‍♀️🐴🔭🌻	走马观花	1	0
走马观花	🏃🎪🔭🏂	走马观花	1	1
走马观花	🏃🎪⚱️🌼	走马观花	1	1
走马观花	🏃🎠👑🌸	走马观花	1	1
走马观花	🏃👨‍💻🏟️🌷	走马观花	1	2
走马观花	🏃🎠⚱️👩‍🎨	走马观花	1	2
走马观花	🏃🎠🎩👨‍🎨	走马观花	1	2
文如其人	📂🍼😤🙋	文不对题	0	2
文如其人	📂🍼⏏️🧑	投桃报李	0	2
文如其人	📂🍼🚲🕴️	文质彬彬	0	2
信誓旦旦	💌👼🌅🌅	信誓旦旦	1	1
信誓旦旦	🏣🔟🌅🌅	朝三暮四	0	1
信誓旦旦	📡👩‍🏫🌅🌅	传道授业	0	1
信誓旦旦	✉️⌚🌅⏏️	信手拈来	0	2
信誓旦旦	✉️🏠💣🌅	信手拈来	0	2
